#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 11 15 07 18  10  3.1  3.1    MM    MM    MM  MM 1028.2   7.1  13.5    MM   MM   MM    MM
2023 11 15 07 12  10  2.6  3.1    MM    MM    MM  MM 1028.2   7.1  13.5    MM   MM   MM    MM
2023 11 15 07 06  10  2.6  3.1    MM    MM    MM  MM 1028.2   7.0  13.7    MM   MM   MM    MM
2023 11 15 07 00  10  2.6  2.6    MM    MM    MM  MM 1028.2   7.0  13.7    MM   MM +0.6    MM
2023 11 15 06 54 350  1.5  2.1    MM    MM    MM  MM 1028.3   7.0  13.7    MM   MM   MM    MM
2023 11 15 06 48 340  1.5  2.1    MM    MM    MM  MM 1028.2   7.0  13.7    MM   MM   MM    MM
2023 11 15 06 42 340  1.5  2.1    MM    MM    MM  MM 1028.1   7.1  13.7    MM   MM   MM    MM
2023 11 15 06 36 320  1.0  1.5    MM    MM    MM  MM 1028.3   7.3  13.7    MM   MM   MM    MM
2023 11 15 06 30 350  2.1  2.6    MM    MM    MM  MM 1028.2   7.4  13.7    MM   MM   MM    MM
2023 11 15 06 24 350  2.1  2.6    MM    MM    MM  MM 1028.1   7.4  13.7    MM   MM   MM    MM
2023 11 15 06 18 340  1.5  2.1    MM    MM    MM  MM 1028.2   7.2  13.7    MM   MM   MM    MM
2023 11 15 06 12 320  1.5  1.5    MM    MM    MM  MM 1028.1   7.2  13.7    MM   MM   MM    MM
2023 11 15 06 06 330  1.5  2.1    MM    MM    MM  MM 1028.0   8.3  13.7    MM   MM   MM    MM
2023 11 15 06 00 350  1.5  2.1    MM    MM    MM  MM 1028.0   8.3  13.7    MM   MM +0.5    MM
2023 11 15 05 54 360  1.5  2.1    MM    MM    MM  MM 1028.0   8.4  13.7    MM   MM   MM    MM
2023 11 15 05 48  10  2.1  2.6    MM    MM    MM  MM 1027.9   8.4  13.7    MM   MM   MM    MM
2023 11 15 05 42  10  1.5  2.1    MM    MM    MM  MM 1028.1   8.1  13.7    MM   MM   MM    MM
2023 11 15 05 36 350  1.0  1.5    MM    MM    MM  MM 1028.1   7.8  13.7    MM   MM   MM    MM
2023 11 15 05 30 330  1.5  2.1    MM    MM    MM  MM 1028.1   7.7  13.7    MM   MM   MM    MM
2023 11 15 05 24 330  1.5  1.5    MM    MM    MM  MM 1028.1   7.8  13.7    MM   MM   MM    MM
2023 11 15 05 18 330  1.5  1.5    MM    MM    MM  MM 1027.9   7.8  13.7    MM   MM   MM    MM
2023 11 15 05 12 350  1.5  1.5    MM    MM    MM  MM 1027.8   8.2  13.7    MM   MM   MM    MM
2023 11 15 05 06 350  1.5  1.5    MM    MM    MM  MM 1027.8   8.6  13.7    MM   MM   MM    MM
2023 11 15 05 00 340  2.1  2.1    MM    MM    MM  MM 1027.7   8.6  13.7    MM   MM +0.0    MM
2023 11 15 04 54 320  2.6  2.6    MM    MM    MM  MM 1027.7   8.7  13.7    MM   MM   MM    MM
2023 11 15 04 48 330  2.6  3.1    MM    MM    MM  MM 1027.5   9.3  13.7    MM   MM   MM    MM
2023 11 15 04 42 320  2.1  2.6    MM    MM    MM  MM 1027.5   9.5  13.7    MM   MM   MM    MM
2023 11 15 04 36 330  1.5  2.1    MM    MM    MM  MM 1027.4   9.9  13.7    MM   MM   MM    MM
2023 11 15 04 30  20  1.5  2.6    MM    MM    MM  MM 1027.4  10.2  13.7    MM   MM   MM    MM
2023 11 15 04 24 350  2.1  2.6    MM    MM    MM  MM 1027.4   9.9  13.7    MM   MM   MM    MM
2023 11 15 04 18 350  2.1  2.6    MM    MM    MM  MM 1027.4   9.8  13.7    MM   MM   MM    MM
2023 11 15 04 12 360  2.1  2.6    MM    MM    MM  MM 1027.5   9.7  13.7    MM   MM   MM    MM
2023 11 15 04 06 360  2.6  3.1    MM    MM    MM  MM 1027.5   9.7  13.7    MM   MM   MM    MM
2023 11 15 04 00 360  3.1  3.6    MM    MM    MM  MM 1027.6   9.6  13.7    MM   MM +0.3    MM
2023 11 15 03 54  10  3.1  3.6    MM    MM    MM  MM 1027.8   9.6  13.7    MM   MM   MM    MM
2023 11 15 03 48  10  2.6  3.1    MM    MM    MM  MM 1027.8   9.6  13.7    MM   MM   MM    MM
2023 11 15 03 42  10  3.1  3.6    MM    MM    MM  MM 1027.8   9.6  13.7    MM   MM   MM    MM
2023 11 15 03 36  10  3.6  4.1    MM    MM    MM  MM 1027.7   9.7  13.7    MM   MM   MM    MM
2023 11 15 03 30 360  2.6  2.6    MM    MM    MM  MM 1027.7   9.3  13.7    MM   MM   MM    MM
2023 11 15 03 24 350  2.6  2.6    MM    MM    MM  MM 1027.6   9.0  13.7    MM   MM   MM    MM
